snapped_at,price,market_cap,total_volume
2022-07-08 00:00:00 UTC,0.018045357966285595,449766.69665920775,54441.56782889162
2022-07-09 00:00:00 UTC,0.018134320616563615,449320.2023816758,57715.23177894742
2022-07-10 00:00:00 UTC,0.017921037039030464,449476.215040077,56789.50832602062
2022-07-11 00:00:00 UTC,0.018065748433957935,453437.1412080582,59885.82430025535
2022-07-12 00:00:00 UTC,0.017198430024219922,430281.7657022,55943.25557760322
2022-07-13 00:00:00 UTC,0.01729751806939558,430007.9101871045,57732.473068703795
2022-07-14 00:00:00 UTC,0.01734693149443568,433673.287360892,56443.671206704246
2022-07-15 00:00:00 UTC,0.017108660850573974,429380.8798680225,58833.72486679675
2022-07-16 00:00:00 UTC,0.01735538915916107,431391.167499405,54732.46373958604
2022-07-17 00:00:00 UTC,0.01935963973783792,481697.20915559324,64060.11013450987
2022-07-18 00:00:00 UTC,0.019895545772875372,497388.64432188426,60259.355871041465
2022-07-19 00:00:00 UTC,0.01991632197312038,496616.12128293875,58505.740705840646
2022-07-20 00:00:00 UTC,0.02073934840617156,517701.08156994777,57460.78805702498
2022-07-21 00:00:00 UTC,0.020604381203854133,513391.1566881752,55235.18419795374
2022-07-22 00:00:00 UTC,0.020519999175700868,514918.09416133177,45914.298435598546
2022-07-23 00:00:00 UTC,0.020624676329862465,517155.03545552224,40737.67506465737
2022-07-24 00:00:00 UTC,0.0206968453483734,516812.749884794,41039.795338134965
2022-07-25 00:00:00 UTC,0.02065524371307458,516727.489336224,40602.38436117754
2022-07-26 00:00:00 UTC,0.020540583408156714,512723.50725894026,41306.06566404934
2022-07-27 00:00:00 UTC,0.019486496686469117,486623.5207005875,39701.66143564477
2022-07-28 00:00:00 UTC,0.02115813192338097,529988.997671824,39142.42420606096
2022-07-29 00:00:00 UTC,0.02107215299872725,526803.8249681812,38164.534893502874
2022-07-30 00:00:00 UTC,0.021320158938777298,530136.8074565185,40988.45328313707
2022-07-31 00:00:00 UTC,0.02113050012712836,528262.503178209,39006.9454956792
2022-08-01 00:00:00 UTC,0.02127536012197365,532341.5360253393,40274.61839201819
2022-08-02 00:00:00 UTC,0.021289734703209353,534292.0812448137,40301.89358786937
2022-08-03 00:00:00 UTC,0.021208588312781666,529005.9923437977,36968.26145035404
2022-08-04 00:00:00 UTC,0.021225333306222234,529362.2659940355,39044.23409546217
2022-08-05 00:00:00 UTC,0.02132348917098763,530943.0913789985,39696.190197341195
2022-08-06 00:00:00 UTC,0.021332347873525816,533308.6968381455,40566.25401908077
2022-08-07 00:00:00 UTC,0.021236785376557116,531073.364199409,38751.39837537778
2022-08-08 00:00:00 UTC,0.02131413324562024,531569.2051784508,38401.88700996644
2022-08-09 00:00:00 UTC,0.022394875240704274,558738.4846322357,41781.662329024555
2022-08-10 00:00:00 UTC,0.022372953193401972,560620.841769905,34715.32841684007
2022-08-11 00:00:00 UTC,0.022131666543710283,553690.0448878005,35775.72830957495
2022-08-12 00:00:00 UTC,0.02348178491110953,590157.0493178377,38134.35693854756
2022-08-13 00:00:00 UTC,0.02294563461924518,574551.981658814,39472.159116852665
2022-08-14 00:00:00 UTC,0.022910597985300412,570989.6980864825,40699.80671816274
2022-08-15 00:00:00 UTC,0.02275330031227671,569056.3995022764,40180.59910065694
2022-08-16 00:00:00 UTC,0.022831777289398763,574083.9686389278,37720.10527848823
2022-08-17 00:00:00 UTC,0.022784745340906194,567682.945595254,39349.00457154625
2022-08-18 00:00:00 UTC,0.02277143681600238,567805.236809594,37279.75681170834
2022-08-19 00:00:00 UTC,0.023782511929526243,591660.082727599,43604.7996893427
2022-08-20 00:00:00 UTC,0.02190266888236474,546966.2229717957,43701.69959221866
2022-08-21 00:00:00 UTC,0.021751167127206386,546700.287399784,47825.52935185106
2022-08-22 00:00:00 UTC,0.022388737792810053,559484.1261438207,43754.19832479973
2022-08-23 00:00:00 UTC,0.021418419856640284,534063.8606082723,44988.40566155951
2022-08-24 00:00:00 UTC,0.021318932660656452,533527.7523093673,47827.91472571038
2022-08-25 00:00:00 UTC,0.021744610023552213,541591.2598141525,37601.84513861764
2022-08-26 00:00:00 UTC,0.021922515906498727,548209.4706757823,45287.51077945368
2022-08-27 00:00:00 UTC,0.02170381839772296,546174.3422175855,46206.86506947383
2022-08-28 00:00:00 UTC,0.02086777572574739,522754.2861776935,45708.37403631661
2022-08-29 00:00:00 UTC,0.020833923014382978,516908.036518114,46217.45396703184
2022-08-30 00:00:00 UTC,0.021138595149939435,524930.3867600545,46075.58446237149
2022-08-31 00:00:00 UTC,0.020223542107555944,505588.5526888985,42420.537901051415
2022-09-01 00:00:00 UTC,0.020212718739711064,505751.09509832924,45594.743680307656
2022-09-02 00:00:00 UTC,0.020582865031865776,516478.8856259427,47433.38968440261
2022-09-03 00:00:00 UTC,0.02034778582152847,508646.9259308185,44077.951727190164
2022-09-04 00:00:00 UTC,0.020450569067889248,512235.54109195125,41412.55880932909
2022-09-05 00:00:00 UTC,0.0201934394528711,504931.17153884424,40289.68828552432
2022-09-06 00:00:00 UTC,0.020889967348149303,519219.60449140024,36034.2857975766
2022-09-07 00:00:00 UTC,0.020783443723418518,519258.78814223426,46666.099960682404
2022-09-08 00:00:00 UTC,0.02112334559156813,530002.4262164712,47144.53471003771
2022-09-09 00:00:00 UTC,0.020369133428050686,510743.9385960815,44706.44332782956
2022-09-10 00:00:00 UTC,0.02125440289311179,532833.1154304505,36987.674947657004
2022-09-11 00:00:00 UTC,0.021781772405035114,544996.601869238,43899.40776058105
2022-09-12 00:00:00 UTC,0.021681894851835987,544020.552226607,46373.871525610055
2022-09-13 00:00:00 UTC,0.021692970984500223,545548.6150812848,48475.03833814402
2022-09-14 00:00:00 UTC,0.02104795952933271,526325.1003290135,42901.922117573566
2022-09-15 00:00:00 UTC,0.02110571497109377,529426.1219913887,45931.56547442247
2022-09-16 00:00:00 UTC,0.020196380811282943,502768.34087513527,44412.08376058093
2022-09-17 00:00:00 UTC,0.02008704944139009,505033.6356367422,45687.75290984847
2022-09-18 00:00:00 UTC,0.019887539850472497,496889.44129372074,45848.30026044358
2022-09-19 00:00:00 UTC,0.01880561091412338,469978.2931021897,45554.801839927415
2022-09-20 00:00:00 UTC,0.018894569238724464,472533.2539100645,45421.410775739285
2022-09-21 00:00:00 UTC,0.018660925650339794,467851.63761836,41765.37225561285
2022-09-22 00:00:00 UTC,0.01795596091360253,448845.59533229726,44868.09086799859
2022-09-23 00:00:00 UTC,0.017929167080607555,447044.1632065595,48430.48126814209
2022-09-24 00:00:00 UTC,0.01795328109566149,450561.94212515076,47387.541825749744
2022-09-25 00:00:00 UTC,0.017917398800328305,447808.7742637855,47357.45885174895
2022-09-26 00:00:00 UTC,0.017914613701515703,447988.10281438177,45881.94122318213
2022-09-27 00:00:00 UTC,0.01765587626273991,440752.990302612,46769.93951133893
2022-09-28 00:00:00 UTC,0.01817920979996109,455598.8729277403,47304.405961527926
