Date,TG Group Members,TG Group Messages,TG Channel Members,TG Channel Posts,TG Channel Views,X Followers,X Views,X Tweets,X Likes,X Retweets,X Comments,Token Holders,Web Users,Web New Users,Web Time,Web Clicks,LinkTree Clicks,LinkTree Views,LinkTree CTR,KOL Budget X,KOL Budget YT
14/04,3268,193,1449,3,265,17957,63400,6,580,216,43,2222,100,18,80,30,23,15,10,150,100
21/04,3267,180,1439,5,476,17983,43300,6,460,118,38,2231,130,36,72,33,24,20,12,200,150
28/04,3289,152,1439,4,463,18012,21900,6,396,92,23,2233,128,42,150,25,20,12,15,100,100
